n_lines,mean_angle,std_angle,mean_abs_angle,mean_length,max_length,left_count,right_count,balance_lr,center_bottom,center_error,vanishing_x,vanishing_error,confidence,omega_true,oracle_confidence,frame_ts_ns
44.0,0.15828665373976022,0.6263207871948845,0.42514919081662633,94.28113555908203,307.7742614746094,25.0,19.0,-0.13636363636363635,309.0357142857143,-0.03426339285714288,279.63763427734375,-0.12613239288330078,1.0,-0.04969919226381112,1.0,1779451116302999341
46.0,0.10901713347509927,0.6225771241869329,0.40379742136672564,86.86003875732422,287.50653076171875,25.0,21.0,-0.08695652173913043,308.9423676012461,-0.034555101246106015,279.159423828125,-0.12762680053710937,1.0,-0.049121249947286644,1.0,1779451116332879091
47.0,0.0737164095044136,0.6178256869316101,0.4273151159286499,88.0205307006836,286.7629699707031,22.0,25.0,0.06382978723404255,311.6550875389599,-0.026077851440750345,193.18849182128906,-0.3962859630584717,1.0,-0.062944666849427,0.75,1779451116364049516
45.0,0.15689664787572508,0.5750153110849275,0.37992571064851566,87.62542724609375,273.1226806640625,21.0,24.0,0.06666666666666667,312.2173344947735,-0.024320829703832737,279.10418701171875,-0.1277994155883789,1.0,-0.04368178342173599,0.75,1779451116395624886
45.0,0.07346698422668925,0.6659023278617431,0.4663221032696156,82.5755615234375,288.17529296875,21.0,24.0,0.06666666666666667,300.6565513161786,-0.0604482771369419,278.2799072265625,-0.13037528991699218,1.0,-0.03781406269192465,1.0,1779451116428677876
48.0,0.12506620178971226,0.6122538450688103,0.39727007431329325,89.5029067993164,288.9186706542969,20.0,28.0,0.16666666666666666,308.91666666666663,-0.034635416666666786,275.0,-0.140625,1.0,-0.05207206786686468,1.0,1779451116461545936
50.0,0.047536276280879974,0.5874316096305847,0.3793957531452179,85.5829849243164,288.17529296875,26.0,24.0,-0.04,309.96938775510205,-0.0313456632653061,236.84828186035156,-0.25984911918640136,1.0,-0.04268122945989425,0.75,1779451116497531037
39.0,0.09804687649011612,0.5827034115791321,0.3996925950050354,109.43302154541016,309.1876525878906,19.0,20.0,0.02564102564102564,311.0616057233704,-0.027932482114467482,280.958251953125,-0.12200546264648438,1.0,-0.0425829901143534,0.5,1779451116530019085
44.0,0.10773692485644619,0.6318702529857281,0.4450802682630232,93.04354858398438,289.587646484375,23.0,21.0,-0.045454545454545456,315.4090775558167,-0.014346632638072876,278.69171142578125,-0.1290884017944336,1.0,-0.04467151061706118,0.75,1779451116561790906
48.0,0.12573814384582035,0.5980351069697651,0.411209846694071,91.34899139404297,289.587646484375,22.0,26.0,0.08333333333333333,310.67910447761193,-0.02912779850746272,401.71514892578125,0.2553598403930664,1.0,-0.05014129473648546,0.75,1779451116594589086
47.0,0.15722003617306118,0.6319922435521403,0.43486418926297765,86.07547760009766,255.6188507080078,24.0,23.0,-0.02127659574468085,309.7372551361682,-0.03207107769947441,289.49114990234375,-0.09534015655517578,1.0,-0.050929817804168366,1.0,1779451116627511644
47.0,-0.003986799158155918,0.5916191339492798,0.3736093044281006,87.7438735961914,289.587646484375,26.0,21.0,-0.10638297872340426,309.8258312269104,-0.031794277415905015,385.48944091796875,0.20465450286865233,1.0,-0.048831610319751736,0.75,1779451116664853180
48.0,0.1265428392461231,0.6135196321267417,0.40209119602535326,95.00106048583984,289.587646484375,22.0,26.0,0.08333333333333333,308.8333333333333,-0.03489583333333339,274.0,-0.14375,1.0,-0.05406166700057751,1.0,1779451116694861065
45.0,0.049374062567949295,0.6162800192832947,0.4157521426677704,97.19165802001953,289.587646484375,23.0,22.0,-0.022222222222222223,309.36904005085825,-0.03322174984106798,276.0170593261719,-0.13744668960571288,1.0,-0.0529831666655764,0.75,1779451116728965565
42.0,0.14983147350053455,0.6402065332966432,0.4334251657851442,99.24673461914062,309.1876525878906,21.0,21.0,0.0,309.50294985250736,-0.03280328171091451,360.58343505859375,0.12682323455810546,1.0,-0.04933608090719198,1.0,1779451116761937467
43.0,0.12596583589760943,0.5953141070538494,0.39284389815034443,95.61221313476562,309.1876525878906,21.0,22.0,0.023255813953488372,314.49213720553854,-0.017212071232692062,279.24859619140625,-0.12734813690185548,1.0,-0.048352548641280295,0.75,1779451116795230649
45.0,0.12010519660037641,0.6075459723082519,0.4183788183068754,91.63072967529297,270.97784423828125,22.0,23.0,0.022222222222222223,297.80973517718564,-0.06934457757129486,274.22314453125,-0.14305267333984376,1.0,-0.05014129473648546,0.75,1779451116829211908
41.0,0.13153979743604854,0.6180753282063249,0.4196274991335871,97.25544738769531,288.17529296875,21.0,20.0,-0.024390243902439025,309.5003391618933,-0.032811440119083456,386.80645751953125,0.20877017974853515,1.0,-0.046394883045051634,0.75,1779451116861461561
47.0,0.1501089621044082,0.605929652312968,0.4311952993220334,95.1686782836914,288.17529296875,21.0,26.0,0.10638297872340426,311.30268860896655,-0.027179098096979538,278.1650390625,-0.1307342529296875,1.0,-0.04467151061706118,0.75,1779451116894974410
42.0,0.03556308150291443,0.5745495557785034,0.38658860325813293,95.11274719238281,307.7742614746094,19.0,23.0,0.09523809523809523,308.1374223602484,-0.03707055512422368,278.23101806640625,-0.13052806854248047,1.0,-0.059733418026616455,0.5,1779451116935940384
46.0,0.15166705090109198,0.6387770440123187,0.44406615842014324,92.10308837890625,288.17529296875,21.0,25.0,0.08695652173913043,310.23594401815365,-0.030512674943269858,187.26974487304688,-0.4147820472717285,1.0,-0.05836884340589998,1.0,1779451116967255586
48.0,0.11652032757917204,0.6131499889338559,0.3914372664344848,91.73600006103516,288.17529296875,25.0,23.0,-0.041666666666666664,309.0421002778479,-0.034243436631725285,383.7081298828125,0.19908790588378905,1.0,-0.054887367970595055,1.0,1779451116997652428
48.0,0.13146650356804224,0.5724294268553136,0.37180065961497416,84.49095916748047,273.1226806640625,24.0,24.0,0.0,311.61650905023384,-0.026198409218019237,277.1575927734375,-0.1338825225830078,1.0,-0.04618606001228642,0.75,1779451117029622428
46.0,0.10987677988253097,0.608397031188069,0.42155056362021115,89.35502624511719,270.97784423828125,24.0,22.0,-0.043478260869565216,297.91039931406175,-0.06903000214355703,314.2765808105469,-0.017885684967041016,1.0,-0.044653682293126794,0.75,1779451117062807756
45.0,0.08493921090601436,0.5951952236401689,0.38351502166296264,91.80338287353516,286.7629699707031,22.0,23.0,0.022222222222222223,309.1028672032193,-0.03405353998993963,318.5684814453125,-0.004473495483398438,1.0,-0.044653682293126794,0.75,1779451117095720516
47.0,-0.008388794027268887,0.5879279971122742,0.36873719096183777,89.5711441040039,281.1138610839844,24.0,23.0,-0.02127659574468085,309.9914982463357,-0.03127656798020091,279.24310302734375,-0.1273653030395508,1.0,-0.0479399647637641,0.75,1779451117131834166
52.0,0.038322899490594864,0.5885728001594543,0.39011240005493164,84.87046813964844,309.9193420410156,26.0,26.0,0.0,311.0052083333333,-0.028108723958333394,178.41378784179688,-0.4424569129943848,1.0,-0.05385998652705849,0.75,1779451117162362281
49.0,0.10827166023114904,0.6297289549503624,0.4120208718578466,89.58195495605469,288.9186706542969,28.0,21.0,-0.14285714285714285,309.27777777777777,-0.033506944444444464,281.77880859375,-0.11944122314453125,1.0,-0.04935849122228024,1.0,1779451117196309615
44.0,0.06635355949401855,0.532024085521698,0.3260044455528259,88.20645141601562,273.1226806640625,23.0,21.0,-0.045454545454545456,297.23430735930737,-0.07114278950216449,341.4473571777344,0.06702299118041992,1.0,-0.0605976357952025,0.5,1779451117229001138
50.0,0.08083601605390207,0.6037991689536142,0.4043312390545477,83.34119415283203,288.9186706542969,26.0,24.0,-0.04,311.4060224089636,-0.02685617997198868,273.92401123046875,-0.14398746490478515,1.0,-0.044653682293126794,0.75,1779451117262003198
42.0,0.13274530723294087,0.6557846443974501,0.4490294996485161,98.0049057006836,288.9186706542969,22.0,20.0,-0.047619047619047616,308.8333333333333,-0.03489583333333339,377.658447265625,0.18018264770507814,1.0,-0.0518416262378376,1.0,1779451117295732480
43.0,-0.0009609710541553795,0.6233696937561035,0.41480472683906555,94.94062805175781,289.587646484375,22.0,21.0,-0.023255813953488372,308.36247326463155,-0.036367271048026416,338.2412109375,0.0570037841796875,1.0,-0.04528472847686103,0.75,1779451117329117384
48.0,0.08162036538124084,0.5497511029243469,0.36113181710243225,82.95201110839844,289.587646484375,21.0,27.0,0.125,309.1428571428571,-0.03392857142857153,423.4931640625,0.3234161376953125,1.0,-0.06340596040131163,0.5,1779451117362523923
43.0,0.11632763198318057,0.638645289878399,0.4527771416430059,101.67633819580078,288.17529296875,21.0,22.0,0.023255813953488372,308.35682925594784,-0.03638490857516299,364.75,0.13984375,1.0,-0.044680423528039755,0.75,1779451117395552522
43.0,0.11445262844328843,0.61786532917066,0.4219377598168741,99.4297103881836,289.587646484375,22.0,21.0,-0.023255813953488372,309.42546583850935,-0.03304541925465827,185.5909423828125,-0.4200283050537109,1.0,-0.04659973502535594,0.75,1779451117429609744
43.0,-0.0001177940284833312,0.644222617149353,0.45366448163986206,96.81584930419922,289.587646484375,20.0,23.0,0.06976744186046512,308.784965034965,-0.03504698426573434,273.60675048828125,-0.1449789047241211,1.0,-0.05945704985628083,0.75,1779451117463476458
46.0,0.11015076923407827,0.573552212269588,0.37093910838377103,86.97920227050781,287.50653076171875,24.0,22.0,-0.043478260869565216,308.8007009345794,-0.0349978095794393,278.94378662109375,-0.12830066680908203,1.0,-0.071752124921499,0.75,1779451117495211819
46.0,0.1126982644200325,0.5244024991989136,0.3326922059059143,86.23260498046875,273.1226806640625,21.0,25.0,0.08695652173913043,306.80831374853113,-0.041224019535840206,276.8287353515625,-0.1349102020263672,1.0,-0.06546702153031671,0.5,1779451117529539579
47.0,0.0564456582069397,0.5367688536643982,0.33290937542915344,86.80074310302734,250.35174560546875,23.0,24.0,0.02127659574468085,287.6669254658385,-0.10104085791925463,369.3390808105469,0.15418462753295897,1.0,-0.06458336552608611,0.5,1779451117562214581
47.0,0.12008349136273058,0.6443736132824959,0.43550345193160755,92.45478820800781,288.17529296875,26.0,21.0,-0.10638297872340426,308.65157349129953,-0.03546383283968897,308.9530944824219,-0.03452157974243164,1.0,-0.051154703572400505,1.0,1779451117595030776
47.0,0.10006705804570448,0.6479903160821254,0.44258520104487414,89.80404663085938,288.17529296875,22.0,25.0,0.06382978723404255,315.28494937694705,-0.014734533197040456,277.5504150390625,-0.13265495300292968,1.0,-0.04445959948926661,1.0,1779451117628261958
49.0,0.05827084183692932,0.5300453305244446,0.331152081489563,88.64222717285156,315.572509765625,24.0,25.0,0.02040816326530612,308.5176056338028,-0.0358824823943662,282.950439453125,-0.11577987670898438,1.0,-0.04468691901268604,0.5,1779451117662792950
44.0,0.16703776514117455,0.6539999694379393,0.4699212297725451,99.41876983642578,314.1592102050781,21.0,23.0,0.045454545454545456,311.8380281690141,-0.025506161971830997,374.9713134765625,0.1717853546142578,1.0,-0.05303457333865077,1.0,1779451117695235599
47.0,0.10390806943178177,0.560362696647644,0.3792368769645691,94.92940521240234,315.572509765625,23.0,24.0,0.02127659574468085,286.4512105649303,-0.10483996698459279,275.9847106933594,-0.13754777908325194,1.0,-0.0605976357952025,0.5,1779451117728795561
47.0,0.15582571918305346,0.6296332855136265,0.436964337005835,84.5188217163086,270.97784423828125,22.0,25.0,0.06382978723404255,311.22961309523805,-0.02740745907738109,280.5262451171875,-0.12335548400878907,1.0,-0.05302819621764079,1.0,1779451117762416414
44.0,0.07044069468975067,0.5628587603569031,0.3733105957508087,95.2886962890625,288.9186706542969,19.0,25.0,0.13636363636363635,309.4707207207207,-0.03290399774774784,156.744384765625,-0.5101737976074219,1.0,-0.04369657909529792,0.5,1779451117795364486
